Request URL,title,publisher,date
http://www.rookiestew.com/liberty-save-holi/,DO NOT take this liberty in the name of Holi. Respect Women!,,"Mar 4, 2015"
http://www.rookiestew.com/these-women-read-savita-bhabhi-for-the-first-time-their-reactions-are-surprisingly-awesome/,"These Women Read Savita Bhabhi For The First Time, Their Reactions Are Surprisingly Awesome",Post By: RS Staff,"Mar 4, 2015"
http://www.rookiestew.com/islamic-state-fighters-tricked-heartbroken-mother-eating-own-son/,Islamic State Fighters Tricked A Heartbroken Mother Into Eating Her Own Son,Post By: RS Staff,"Mar 4, 2015"
http://www.rookiestew.com/united-colors-holi-world-together/,Holi Hai  United Colors of Holi brings the world together!,Post By: RS Staff,"Mar 3, 2015"
http://www.rookiestew.com/a-bunch-of-celebs-bragging-about-themselves-on-the-sets-of-this-film-will-drive-you-crazy-with-curiosity/,A Bunch Of Celebs Bragging About Themselves On The Sets Of This  Film Will Drive You Crazy With Curiosity,Post By: RS Staff,"Mar 3, 2015"
http://www.rookiestew.com/spending-much-time-facebook-leads-depression-envy-claims-research/,"Spending Too Much Time On Facebook Leads To Depression And Envy, Claims Research",Post By: RS Staff,"Mar 3, 2015"
http://www.rookiestew.com/this-is-what-one-of-the-accused-in-nirbhayas-case-has-to-say-about-the-incident-and-its-baffling-more-than-sad/,This Is What One Of The Accused In Nirbhayas Case Has To Say About The Incident And Its Baffling More Than Sad,Post By: RS Staff,"Mar 2, 2015"
http://www.rookiestew.com/9-years-old-girl-suffered-constant-hiccups-since-november/,This 9 Years Old Girl Is Suffered From Constant Hiccups Since November,Post By: RS Staff,"Mar 2, 2015"
http://www.rookiestew.com/6-unbelievable-indians-married-animals-reason-will-leave-shell-shocked/,These 6 Unbelievable Indians Who Married Animals And Their Reason To Do So Will Leave You Shell Shocked,Post By: RS Staff,"Mar 2, 2015"
http://www.rookiestew.com/1966-space-selfie-raked-about-6k-pounds-auction/,"This 1966 Space Selfie Has Raked In About   6,000 In Auction",Post By: RS Staff,"Mar 2, 2015"
http://www.rookiestew.com/mauka-tvf-wi-india/,TVFs New Spoof Video Gives The Best Response To India Vs West Indies Mauka Ad,,"Feb 28, 2015"
http://www.rookiestew.com/this-india-vs-west-indies-mauka-ad-spoof-totally-killed-it-this-time/,This India Vs West Indies Mauka Ad Spoof Totally Killed It This Time,Post By: RS Staff,"Feb 28, 2015"
http://www.rookiestew.com/which-bollywood-boyfriend-are-you/,Which Bollywood Boyfriend Are You?,,"Feb 28, 2015"
http://www.rookiestew.com/20-surefire-ways-girlfriend-grateful-have/,20 Surefire Ways To Make Your Girlfriend Feel Grateful To Have You,,"Feb 28, 2015"
